algorithm,dataset,n_clusters,init,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score,priority_score,pretrain_epochs,clustering_epochs,damping,convergence_iter,affinity,preference,linkage,input_dim,levels,threshold,branching_factor,maximum_clusters,amount_intervals,density_threshold,number_cluster,number_represent_points,compression,eps,min_samples,ratio,max_n_leaf_nodes,n_clusters_init,dip_merge_threshold,step_size,dip_threshold,n_starting_vectors,ambiguous_triangle_strategy,significance,split_viewers_threshold,pval_strategy,outliers,consider_duplicates,min_n_clusters,max_n_clusters,n_boots,use_principal_components,use_log,n_split_trials,min_cluster_size,metric,leaf_size,pn,max_iter,n_init,k,t,var,bandwidth,bin_seeding,xi,n_projections,n_samples,number_clusters,add_tails,max_cluster_size_diff_factor,amount_clusters,epouch,similarity_matrix,n_neighbors,rows,cols,radius,threshold1,threshold2
affinity,D3,,,,,,,0.8383156579550334,0.8224024552918038,0.942,0.6412493090047827,3565.750083699784,0.5741774395662905,0.6352524022168142,0.8200656050962107,,,0.9,15.0,euclidean,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,D4,,,,,,,0.4811166159116251,0.3822856747739893,0.847,0.5005194666019809,1416.3345774473544,0.8040847129930507,0.5542976961103777,0.5373529632000115,,,0.9,15.0,euclidean,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,D5,,,,,,,0.0825647320075608,0.3527527325314122,1.0,0.4717952491668874,1898.702513942016,0.5798617824330776,0.6329667640038376,0.44068296925543216,,,0.8,15.0,euclidean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,ecoli,,,,,,,0.6682524948241905,0.6283092393050035,0.75,0.408200661507409,187.431790027903,1.0939933982747123,0.4775564244013006,0.652544228829629,,,0.6,15.0,euclidean,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,elly2d10c13s,,,,,,,0.3457893022514012,0.5104029036279959,0.5357653791130186,0.4356628037436799,2493.668995957843,0.725128662183142,0.5796669094434411,0.5100017189930397,,,0.9,15.0,euclidean,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,glass,,,,,,,0.2045112459748327,0.2784862654575543,0.4485981308411215,0.5152980305377352,142.667113863651,1.047790684170367,0.488331159883724,0.39012198555597416,,,0.5,15.0,euclidean,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,ionosphere,,,,,,,0.0384121324616305,0.1272923149402718,0.7644230769230769,0.1324128453281285,14.868091856478516,1.6685012782354507,0.3747421851194507,0.2541563945634221,,,0.6,15.0,euclidean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,s1,,,,,,,0.8442624391704551,0.931059742174555,0.996,0.4960370641417104,17710.102430611252,0.9146864006108189,0.5222787395789631,0.8340282347755704,,,0.9,15.0,euclidean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,s2,,,,,,,0.6664073391025818,0.8409664168685579,0.9548,0.3981993694229581,9561.768843566815,0.9407859021673252,0.5152551854809304,0.73903428823616,,,0.9,50.0,euclidean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,sonar,,,,,,,0.0384121324616305,0.1272923149402718,0.7644230769230769,0.1324128453281285,14.868091856478516,1.6685012782354502,0.3747421851194507,0.2541563945634221,,,0.6,15.0,euclidean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,statlog,,,,,,,0.5493280867178622,0.6622619707464507,0.6696969696969697,0.29682816855664,1383.7339027675014,1.4576860024414011,0.4068868028733637,0.5970894215867781,,,0.6,15.0,euclidean,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,unbalance,,,,,,,0.9951641403024964,0.9682149703844914,0.953846153846154,0.8248267655102068,36462.33217756672,0.3826825675110339,0.7232317984597864,0.9331331208395003,,,0.9,15.0,euclidean,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
